FLUKE 54-II,   V1.5,   
Start Time,Stop Time,Elapsed Time,Interval,Total readings,Thermocouple Type,Scaling
1/26/2021 12:28:03 AM,1/26/2021 8:46:03 AM,8:18:00,0:01:00,499,K,(none)
,Max Time Stamp,Max,,Average,,Min,,Min Time Stamp,Offset
T1,1/26/2021 8:27:03 AM,70.1,°F,69.2,°F,68.1,°F,1/26/2021 12:30:03 AM,0.0 °F
T2,1/26/2021 8:13:03 AM,70.3,°F,69.3,°F,68.5,°F,1/26/2021 2:42:03 AM,0.0 °F
T1-T2,1/26/2021 1:29:03 AM,0.2,°F,-0.1,°F,-1.2,°F,1/26/2021 12:30:03 AM,
Reading,T1,,T2,,T1-T2,,Time Stamp
280,68.8,°F,69.1,°F,-0.3,°F,1/26/2021 5:07:03 AM
281,68.9,°F,69.1,°F,-0.2,°F,1/26/2021 5:08:03 AM
282,68.9,°F,69.1,°F,-0.2,°F,1/26/2021 5:09:03 AM
283,68.9,°F,69.1,°F,-0.2,°F,1/26/2021 5:10:03 AM
284,68.9,°F,69.1,°F,-0.2,°F,1/26/2021 5:11:03 AM
285,68.9,°F,69.1,°F,-0.2,°F,1/26/2021 5:12:03 AM
286,68.9,°F,69.2,°F,-0.3,°F,1/26/2021 5:13:03 AM
287,68.9,°F,69.2,°F,-0.3,°F,1/26/2021 5:14:03 AM
288,68.9,°F,69.2,°F,-0.3,°F,1/26/2021 5:15:03 AM
289,68.9,°F,69.2,°F,-0.3,°F,1/26/2021 5:16:03 AM
290,68.9,°F,69.2,°F,-0.3,°F,1/26/2021 5:17:03 AM
291,68.9,°F,69.2,°F,-0.3,°F,1/26/2021 5:18:03 AM
292,68.9,°F,69.2,°F,-0.3,°F,1/26/2021 5:19:03 AM
293,69,°F,69.2,°F,-0.2,°F,1/26/2021 5:20:03 AM
294,68.9,°F,69.2,°F,-0.3,°F,1/26/2021 5:21:03 AM
295,69,°F,69.2,°F,-0.2,°F,1/26/2021 5:22:03 AM
296,69,°F,69.2,°F,-0.2,°F,1/26/2021 5:23:03 AM
297,69,°F,69.2,°F,-0.2,°F,1/26/2021 5:24:03 AM
298,69,°F,69.2,°F,-0.2,°F,1/26/2021 5:25:03 AM
299,69,°F,69.2,°F,-0.2,°F,1/26/2021 5:26:03 AM
300,69,°F,69.2,°F,-0.2,°F,1/26/2021 5:27:03 AM
301,69,°F,69.2,°F,-0.2,°F,1/26/2021 5:28:03 AM
302,69.1,°F,69.3,°F,-0.2,°F,1/26/2021 5:29:03 AM
303,69.1,°F,69.3,°F,-0.2,°F,1/26/2021 5:30:03 AM
304,69.1,°F,69.3,°F,-0.2,°F,1/26/2021 5:31:03 AM
305,69.1,°F,69.3,°F,-0.2,°F,1/26/2021 5:32:03 AM
306,69.1,°F,69.3,°F,-0.2,°F,1/26/2021 5:33:03 AM
307,69.1,°F,69.4,°F,-0.3,°F,1/26/2021 5:34:03 AM
308,69.1,°F,69.4,°F,-0.3,°F,1/26/2021 5:35:03 AM
309,69.1,°F,69.5,°F,-0.4,°F,1/26/2021 5:36:03 AM
310,69.1,°F,69.5,°F,-0.4,°F,1/26/2021 5:37:03 AM
311,69.1,°F,69.5,°F,-0.4,°F,1/26/2021 5:38:03 AM
312,69.1,°F,69.5,°F,-0.4,°F,1/26/2021 5:39:03 AM
313,69.1,°F,69.6,°F,-0.5,°F,1/26/2021 5:40:03 AM
314,69.1,°F,69.6,°F,-0.5,°F,1/26/2021 5:41:03 AM
315,69.1,°F,69.6,°F,-0.5,°F,1/26/2021 5:42:03 AM
316,69.1,°F,69.6,°F,-0.5,°F,1/26/2021 5:43:03 AM
317,69.1,°F,69.7,°F,-0.6,°F,1/26/2021 5:44:03 AM
318,69.2,°F,69.7,°F,-0.5,°F,1/26/2021 5:45:03 AM
319,69.2,°F,69.7,°F,-0.5,°F,1/26/2021 5:46:03 AM
320,69.2,°F,69.7,°F,-0.5,°F,1/26/2021 5:47:03 AM
